customer,mdn,sprint_plan,socs
M2M DataSmart,6467656063,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM4;DSMSMSBLK;DSMSTIP
M2M DataSmart,6462426190,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM4;DSMSMSBLK;DSMSTIP
M2M DataSmart,6466851986,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,6469252226,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,6462600397,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,6467651398,DSMDATA66,DSMBAIC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,6464989317,DSMDATA66,DSMBAIC;DSMOCBLK;DSMREALM4;DSMSMSBLK
M2M DataSmart,6462215142,DSMDATA66,DSMBAIC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9177236900,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,6469773052,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4;DSMSMSBLK
M2M DataSmart,9174074069,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,6467652334,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM4;DSMSMSBLK;DSMSTIP
M2M DataSmart,6465673521,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM4;DSMSMSBLK;DSMSTIP
M2M DataSmart,6463519308,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM4;DSMSMSBLK;DSMSTIP
M2M DataSmart,6466674530,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,6462816420,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,6462458779,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,6463454981,DSMDATA66,DSMBAIC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,6462810008,DSMDATA66,DSMBAIC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9176744023,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,6462212100,DSMDATA66,DSMBAIC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,6469770326,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4;DSMSMSBLK
M2M DataSmart,6462818040,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9176737214,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9173347518,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9174063385,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9174063855,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9177490907,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9176738442,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,9176738673,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,9176742397,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,9177718611,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9178054399,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9173098828,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9177762186,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9177760730,DSMDATA66,DSMBAIC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9177011359,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,6465544540,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM4;DSMSMSBLK;DSMSTIP
M2M DataSmart,6463254580,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM4;DSMSMSBLK;DSMSTIP
M2M DataSmart,6466639991,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
